V5.p X,V5.p Y
1.219999999990003e-10,-9.130800088387184e-07
1.224999999990003e-10,-9.130799812901467e-07
1.229999999990003e-10,-9.130800090430862e-07
1.234999999990003e-10,-9.130799811507042e-07
1.239999999990003e-10,-9.130800096940166e-07
1.244999999990003e-10,-9.130799801685974e-07
1.249999999990003e-10,-9.130800101282521e-07
1.254999999990003e-10,-9.130799798505729e-07
1.259999999990003e-10,-9.130800103831295e-07
1.264999999990003e-10,-9.130799798871655e-07
1.269999999990003e-10,-9.130800103195741e-07
1.274999999990003e-10,-9.130799794070516e-07
1.279999999990003e-10,-9.130800103135565e-07
1.284999999990003e-10,-9.13079979386944e-07
1.289999999990003e-10,-9.130800110680934e-07
1.294999999990003e-10,-9.130799792213379e-07
1.299999999990003e-10,-9.130800111041771e-07
1.304999999990003e-10,-9.130799790203726e-07
1.309999999990003e-10,-9.130800111924384e-07
1.314999999990003e-10,-9.130799794934812e-07
1.319999999990003e-10,-9.130800108742245e-07
1.324999999990003e-10,-9.130799800579844e-07
1.329999999990003e-10,-9.130800102046577e-07
1.334999999990003e-10,-9.130799796228705e-07
1.339999999990003e-10,-9.130800104036525e-07
1.344999999990003e-10,-9.130799796631783e-07
1.349999999990003e-10,-9.130800108317818e-07
1.354999999990003e-10,-9.130799799743902e-07
1.359999999990003e-10,-9.130800102447402e-07
1.364999999990003e-10,-9.130799803545342e-07
1.369999999990003e-10,-9.130800102248919e-07
1.374999999990003e-10,-9.130799803233949e-07
1.379999999990003e-10,-9.130800093382216e-07
1.384999999990003e-10,-9.130799807412411e-07
1.389999999990003e-10,-9.130800094732564e-07
1.394999999990003e-10,-9.130799812948654e-07
1.399999999990003e-10,-9.130800090815982e-07
1.404999999990003e-10,-9.130799815882023e-07
1.409999999990003e-10,-9.130800087329959e-07
1.414999999990003e-10,-9.130799817136638e-07
1.419999999990003e-10,-9.130800086442811e-07
1.424999999990003e-10,-9.130799815884473e-07
1.429999999990003e-10,-9.130800083082554e-07
1.434999999990003e-10,-9.13079982287108e-07
1.439999999990003e-10,-9.130800076235261e-07
1.444999999990003e-10,-9.130799829192608e-07
1.449999999990003e-10,-9.130800070675526e-07
1.454999999990003e-10,-9.130799831687928e-07
1.459999999990003e-10,-9.130800068338967e-07
1.464999999990003e-10,-9.130799830786866e-07
1.469999999990003e-10,-9.130800072798807e-07
1.474999999990004e-10,-9.130799831452152e-07
1.479999999990004e-10,-9.130800071309115e-07
1.484999999990004e-10,-9.130799826480292e-07
1.489999999990004e-10,-9.130800076234868e-07
1.494999999990004e-10,-9.13079982466218e-07
1.499999999990004e-10,-9.130800079529496e-07
1.504999999990003e-10,-9.130799819648466e-07
1.509999999990003e-10,-9.130800084065408e-07
1.514999999990003e-10,-9.130799813247041e-07
1.519999999990004e-10,-9.130800089702822e-07
1.524999999990004e-10,-9.130799807108586e-07
1.529999999990004e-10,-9.130800095636587e-07
1.534999999990004e-10,-9.130799808643408e-07
1.539999999990004e-10,-9.130800096190545e-07
1.544999999990004e-10,-9.13079980715746e-07
1.549999999990004e-10,-9.130800099335429e-07
1.554999999990004e-10,-9.130799803480192e-07
1.559999999990004e-10,-9.130800097740373e-07
1.564999999990004e-10,-9.13079980987151e-07
1.569999999990004e-10,-9.130800090117303e-07
1.574999999990004e-10,-9.130799815638574e-07
1.579999999990004e-10,-9.130800087058599e-07
1.584999999990004e-10,-9.130799815143449e-07
1.589999999990004e-10,-9.130800087899821e-07
1.594999999990004e-10,-9.130799819691187e-07
1.599999999990004e-10,-9.130800076918751e-07
1.604999999990004e-10,-9.130799824632731e-07
1.609999999990004e-10,-9.13080007566824e-07
1.614999999990004e-10,-9.130799835369864e-07
1.619999999990004e-10,-9.130800069535542e-07
1.624999999990004e-10,-9.130799836454565e-07
1.629999999990004e-10,-9.130800062483822e-07
1.634999999990004e-10,-9.130799841220934e-07
1.639999999990004e-10,-9.130800061263264e-07
1.644999999990004e-10,-9.130799839569258e-07
1.649999999990004e-10,-9.130800063043001e-07
1.654999999990004e-10,-9.130799840280282e-07
1.659999999990004e-10,-9.130800061712325e-07
1.664999999990004e-10,-9.130799839168793e-07
1.669999999990004e-10,-9.130800056241589e-07
1.674999999990004e-10,-9.130799847956691e-07
1.679999999990004e-10,-9.130800046852506e-07
1.684999999990004e-10,-9.13079985709985e-07
1.689999999990004e-10,-9.130800044943768e-07
1.694999999990004e-10,-9.130799855447443e-07
1.699999999990004e-10,-9.130800047684052e-07
1.704999999990004e-10,-9.130799846945877e-07
1.709999999990004e-10,-9.130800054031086e-07
1.714999999990004e-10,-9.130799852520528e-07
1.719999999990004e-10,-9.130800048477337e-07
1.724999999990004e-10,-9.130799848974905e-07
1.729999999990004e-10,-9.130800049563695e-07
1.734999999990004e-10,-9.130799850793045e-07
1.739999999990004e-10,-9.130800050029203e-07
1.744999999990004e-10,-9.13079985028641e-07
1.749999999990004e-10,-9.130800053968625e-07
1.754999999990004e-10,-9.130799845157406e-07
1.759999999990004e-10,-9.130800057161111e-07
1.764999999990004e-10,-9.130799839671338e-07
1.769999999990004e-10,-9.130800059165628e-07
1.774999999990004e-10,-9.130799842794389e-07
1.779999999990004e-10,-9.130800058393175e-07
1.784999999990004e-10,-9.130799844323423e-07
1.789999999990004e-10,-9.130800058904191e-07
1.794999999990004e-10,-9.130799841097889e-07
1.799999999990004e-10,-9.130800061127944e-07
1.804999999990004e-10,-9.130799838900403e-07
1.809999999990004e-10,-9.130800063935945e-07
1.814999999990004e-10,-9.130799832776504e-07
1.819999999990004e-10,-9.130800067977655e-07
1.824999999990004e-10,-9.130799829500589e-07
1.829999999990004e-10,-9.130800074123516e-07
1.834999999990004e-10,-9.130799826919655e-07
1.839999999990004e-10,-9.130800078903495e-07
1.844999999990004e-10,-9.130799826989456e-07
1.849999999990004e-10,-9.130800071915666e-07
1.854999999990004e-10,-9.13079982881774e-07
1.859999999990004e-10,-9.130800073219062e-07
1.864999999990004e-10,-9.130799835527414e-07
1.869999999990004e-10,-9.130800064555637e-07
1.874999999990004e-10,-9.130799843365739e-07
1.879999999990005e-10,-9.130800055752585e-07
1.884999999990005e-10,-9.130799855133249e-07
1.889999999990004e-10,-9.130800048364702e-07
1.894999999990004e-10,-9.130799855363969e-07
1.899999999990004e-10,-9.130800044741032e-07
1.904999999990004e-10,-9.130799862848729e-07
1.909999999990004e-10,-9.13080004132636e-07
1.914999999990004e-10,-9.130799863309112e-07
1.919999999990004e-10,-9.130800032976927e-07
1.924999999990005e-10,-9.130799870077837e-07
1.929999999990005e-10,-9.130800032619096e-07
