V4.p X,V4.p Y
8.999999999900021e-11,-2.974491746547755e-06
9.049999999900021e-11,-2.974491609488902e-06
9.099999999900022e-11,-2.974491749206199e-06
9.149999999900022e-11,-2.974491603725961e-06
9.199999999900022e-11,-2.97449174923959e-06
9.249999999900021e-11,-2.974491605190508e-06
9.299999999900022e-11,-2.974491741868111e-06
9.349999999900022e-11,-2.974491614460317e-06
9.399999999900022e-11,-2.974491733504573e-06
9.449999999900022e-11,-2.974491617909317e-06
9.499999999900022e-11,-2.974491730235001e-06
9.549999999900023e-11,-2.974491622533786e-06
9.599999999900023e-11,-2.974491717872522e-06
9.649999999900023e-11,-2.974491629722973e-06
9.699999999900022e-11,-2.974491720619041e-06
9.749999999900024e-11,-2.974491627519289e-06
9.799999999900023e-11,-2.974491711270533e-06
9.849999999900023e-11,-2.974491627398168e-06
9.899999999900023e-11,-2.974491713413611e-06
9.949999999900023e-11,-2.974491624136731e-06
9.999999999900024e-11,-2.974491714471676e-06
1.004999999990002e-10,-2.974491624533946e-06
1.009999999990002e-10,-2.974491710635776e-06
1.014999999990002e-10,-2.974491625338642e-06
1.019999999990002e-10,-2.974491708577811e-06
1.024999999990002e-10,-2.974491630370765e-06
1.029999999990002e-10,-2.974491697238639e-06
1.034999999990002e-10,-2.97449163771352e-06
1.039999999990002e-10,-2.974491696470307e-06
1.044999999990002e-10,-2.974491632526258e-06
1.049999999990002e-10,-2.974491694618e-06
1.054999999990002e-10,-2.974491639244222e-06
1.059999999990002e-10,-2.974491690604128e-06
1.064999999990003e-10,-2.974491631830594e-06
1.069999999990003e-10,-2.974491693213639e-06
1.074999999990003e-10,-2.974491636022942e-06
1.079999999990003e-10,-2.974491692685314e-06
1.084999999990002e-10,-2.974491636150766e-06
1.089999999990003e-10,-2.974491693460983e-06
1.094999999990003e-10,-2.974491626693299e-06
1.099999999990003e-10,-2.974491699181143e-06
1.104999999990003e-10,-2.974491622335179e-06
1.109999999990003e-10,-2.97449169582706e-06
1.114999999990003e-10,-2.974491627121143e-06
1.119999999990003e-10,-2.97449169478485e-06
1.124999999990003e-10,-2.974491626797001e-06
1.129999999990003e-10,-2.974491686600036e-06
1.134999999990003e-10,-2.974491625822558e-06
1.139999999990003e-10,-2.97449168584383e-06
1.144999999990003e-10,-2.974491629187393e-06
1.149999999990003e-10,-2.974491684314337e-06
1.154999999990003e-10,-2.974491627806612e-06
1.159999999990003e-10,-2.974491686711643e-06
1.164999999990003e-10,-2.974491626493735e-06
1.169999999990003e-10,-2.974491690788676e-06
1.174999999990003e-10,-2.974491611958557e-06
1.179999999990003e-10,-2.974491694547399e-06
1.184999999990003e-10,-2.974491613213337e-06
1.189999999990003e-10,-2.974491691839851e-06
1.194999999990003e-10,-2.974491611707582e-06
1.199999999990003e-10,-2.974491689881998e-06
1.204999999990003e-10,-2.974491612713218e-06
1.209999999990003e-10,-2.974491686526812e-06
1.214999999990003e-10,-2.974491623318818e-06
1.219999999990003e-10,-2.974491679599118e-06
1.224999999990003e-10,-2.974491621950003e-06
1.229999999990003e-10,-2.974491680026047e-06
1.234999999990003e-10,-2.974491618942002e-06
1.239999999990003e-10,-2.974491677957551e-06
1.244999999990003e-10,-2.974491616914658e-06
1.249999999990003e-10,-2.974491678447889e-06
1.254999999990003e-10,-2.974491611534646e-06
1.259999999990003e-10,-2.974491685881596e-06
1.264999999990003e-10,-2.974491604093261e-06
1.269999999990003e-10,-2.974491682716206e-06
1.274999999990003e-10,-2.974491611229818e-06
1.279999999990003e-10,-2.974491678652136e-06
1.284999999990003e-10,-2.974491614780997e-06
1.289999999990003e-10,-2.974491673249036e-06
1.294999999990003e-10,-2.974491610782818e-06
1.299999999990003e-10,-2.974491667586633e-06
1.304999999990003e-10,-2.974491617121371e-06
1.309999999990003e-10,-2.974491671761113e-06
1.314999999990003e-10,-2.974491614102635e-06
1.319999999990003e-10,-2.974491666305299e-06
1.324999999990003e-10,-2.974491615328534e-06
1.329999999990003e-10,-2.974491668136755e-06
1.334999999990003e-10,-2.974491612521709e-06
1.339999999990003e-10,-2.974491671749925e-06
1.344999999990003e-10,-2.974491614983143e-06
1.349999999990003e-10,-2.974491661751212e-06
1.354999999990003e-10,-2.97449161257569e-06
1.359999999990003e-10,-2.974491661662421e-06
1.364999999990003e-10,-2.974491605570226e-06
1.369999999990003e-10,-2.974491666474141e-06
1.374999999990003e-10,-2.974491607014346e-06
1.379999999990003e-10,-2.974491661454615e-06
1.384999999990003e-10,-2.974491616049857e-06
1.389999999990003e-10,-2.974491655059629e-06
1.394999999990003e-10,-2.974491616878597e-06
1.399999999990003e-10,-2.974491651841792e-06
1.404999999990003e-10,-2.974491614215303e-06
1.409999999990003e-10,-2.974491653187524e-06
1.414999999990003e-10,-2.97449160625552e-06
